timestamp,value
0,4.9526848172611615
1,4.96878404248185
2,4.9809694994848535
3,4.972406939739231
4,4.935834105629245
5,4.902852657202528
6,4.894284787225175
7,4.887282783283687
8,4.8890452079556015
9,4.8757140489262145
10,4.868402971839089
11,4.850168156870117
12,4.847021715221607
13,4.842066386006912
14,4.853682396405077
15,4.854978571666444
16,4.856159500021073
17,4.855043504098293
18,4.86235578586467
19,4.872368855845538
20,4.956454702761417
21,5.121247698719565
22,5.269296768545732
23,5.279054101172108
24,5.016029057929728
25,4.789067347972283
26,4.6787723791519396
27,4.753145213387068
28,4.822906698192093
29,4.853061956550741
30,4.872177034551195
31,4.877646475627526
32,4.885620272064282
33,4.925077140824558
34,4.974392156598749
35,5.037297474495492
36,5.093397592685725
37,5.110309995390305
38,5.076064091964695
39,5.024374999975139
40,4.992787088072886
41,4.985497828793596
42,4.988760731866231
43,4.9856375912059265
44,4.96567244568062
45,4.934490186547081
46,4.901846554399339
47,4.883090070150437
48,4.858106991662747
49,4.851752083423617
50,4.894279260415406
51,4.9032041254462575
52,4.933960592202643
53,4.957630412777106
54,4.9537477979640485
55,4.976296488466554
56,4.9933396977276185
57,5.007330596748977
58,4.996589500726232
59,4.961231279507279
60,4.926094062861371
61,4.916329122360847
62,4.910671006968752
63,4.913660912908451
64,4.901835255565459
65,4.892811739733158
66,4.8727310402030435
67,4.86949006865499
68,4.867643341629607
69,4.877633804039274
70,4.881965666373344
71,4.881318216133117
72,4.880260742484965
73,4.885594256487364
74,4.897131092104275
75,4.980777418427165
76,5.144820269680654
77,5.295106422247603
78,5.304970157753145
79,5.040733269312532
80,4.813347227670503
81,4.702082928512771
82,4.776460359897469
83,4.846306857187324
84,4.8763183701651585
85,4.899592385596102
86,4.900284526975352
87,4.911182442695616
88,4.951971588035332
89,5.001525794133071
90,5.065610710200059
91,5.118253852352741
92,5.136252010490024
93,5.102366538937857
94,5.049339984207813
95,5.01694613592739
96,5.008100428637522
97,5.014272461736639
98,5.0090261111351655
99,4.989771999226536
100,4.9588507934978825
101,4.92755734720753
102,4.907298988306166
103,4.882683200741058
104,4.8763807264404
105,4.932376072861332
106,4.903747833703149
107,4.906470402724643
108,4.968659059633755
109,5.034415741155362
110,5.016012720715596
111,5.033077107869621
112,5.045721958852033
113,4.244893013207859
114,4.339470932436639
115,4.196874544348019
116,4.323742123216947
117,4.3395996170929925
118,4.951683698160337
119,4.939408775032863
120,4.933447415968819
121,4.912945671228225
122,4.906938923091052
123,4.905018362285114
124,4.916921848784217
125,4.921146944786558
126,4.91813272909965
127,4.91808783356043
128,4.926048776505774
129,4.9369566402306475
130,5.0211952760118415
131,5.186136171479354
132,5.338668060326586
133,5.348060826140248
134,5.081840370631309
135,4.853109508215285
136,4.739723475395506
137,4.815164236461413
138,4.886181764589596
