timestamp,value
0,14.763
1,14.649
2,15.085
3,16.376
4,16.926
5,16.774
6,16.49
7,15.769
8,15.18
9,14.383
10,14.478
11,14.364
12,13.928
13,13.283
14,13.7
15,15.465
16,16.243
17,16.49
18,16.243
19,15.787
20,15.446
21,14.649
22,13.776
23,13.188
24,13.283
25,12.657
26,12.979
27,13.909
28,14.535
29,14.877
30,14.858
31,14.288
32,13.947
33,13.416
34,12.903
35,13.454
36,13.491
37,13.567
38,13.397
39,14.44
40,15.161
41,15.427
42,15.693
43,15.142
44,14.763
45,14.288
46,13.074
47,12.543
48,12.239
49,12.011
50,12.827
51,13.567
52,13.548
53,13.302
54,13.188
55,13.112
56,12.827
57,12.201
58,11.917
59,11.803
60,11.157
61,10.892
62,11.12
63,12.6
64,13.283
65,13.416
66,13.34
67,13.529
68,13.776
69,14.307
70,13.852
71,13.833
72,13.169
73,12.941
74,13.188
75,14.383
76,14.763
77,15.218
78,15.161
79,14.858
80,14.156
81,13.586
82,13.15
83,14.137
84,14.231
85,14.364
86,13.833
87,14.478
88,15.009
89,15.617
90,16.148
91,15.977
92,15.142
93,14.592
94,14.364
95,14.497
96,14.554
97,14.991
98,15.863
99,17.932
100,19.184
101,19.184
102,18.956
103,18.254
104,17.514
105,16.66
106,16.338
107,16.319
108,17.457
109,17.173
110,17.856
111,18.596
112,18.558
113,18.159
114,17.685
115,16.812
116,16.072
117,15.332
118,14.478
119,14.213
120,13.738
121,13.169
122,12.581
123,13.245
124,13.852
125,14.175
126,14.288
127,13.985
128,13.435
129,12.884
130,12.429
131,12.41
132,13.397
133,13.909
134,13.833
135,14.099
136,14.687
137,14.611
138,14.383
139,13.909
140,13.359
141,12.296
142,12.106
143,11.803
144,12.353
145,12.22
146,12.827
147,14.25
148,15.085
149,14.953
150,14.44
151,13.89
152,13.036
153,12.201
154,11.404
155,11.309
156,10.987
157,10.361
158,10.304
159,11.347
160,11.784
161,11.841
162,11.841
163,11.651
164,11.404
165,10.873
166,10.209
167,10.076
168,10.247
169,10.133
170,10.74
171,11.556
172,12.201
173,12.505
174,12.732
175,12.201
176,12.068
177,11.29
178,11.139
179,11.101
180,10.342
181,10.0
182,11.347
183,12.77
184,13.321
185,13.34
186,13.188
187,12.676
188,12.315
189,12.049
190,11.594
191,11.252
192,12.467
193,13.491
194,13.491
195,14.156
196,15.256
197,15.598
198,16.034
199,15.598
200,14.516
201,13.435
202,12.638
203,12.106
204,12.144
205,12.979
206,11.917
207,15.066
208,15.199
209,15.427
210,15.427
211,15.408
212,14.706
213,14.137
214,13.302
215,12.979
216,13.036
217,12.903
218,13.719
219,14.801
220,15.541
221,15.617
222,15.503
223,15.218
224,14.592
225,13.852
226,13.416
227,13.055
228,12.315
229,12.239
230,12.562
231,13.89
232,14.687
233,15.313
234,15.408
235,15.028
236,14.782
237,14.213
238,13.435
239,13.662
240,14.288
241,13.491
242,13.15
243,13.586
244,13.871
245,14.175
246,14.099
247,13.719
248,13.093
249,12.562
250,12.03
251,12.144
252,11.86
253,12.41
254,12.77
255,14.63
256,15.218
257,15.92
258,15.882
259,15.75
260,15.275
261,14.801
262,14.554
263,14.345
264,15.104
265,14.554
266,14.953
267,15.958
268,17.59
269,18.805
270,18.805
271,18.33
272,17.476
273,16.812
274,16.224
275,15.541
276,14.744
277,14.478
278,14.725
279,16.319
280,17.324
281,17.609
282,17.211
283,16.546
284,15.977
285,15.427
286,14.972
287,14.535
288,14.213
289,13.719
290,15.009
291,16.319
292,17.078
293,17.913
294,18.159
295,17.704
296,17.059
297,17.268
298,16.546
299,16.072
300,15.996
301,15.294
302,15.901
303,16.3
304,16.546
305,17.495
306,17.666
307,16.964
308,16.148
309,15.427
310,14.839
311,14.269
312,14.118
313,14.156
314,14.08
315,16.414
316,18.216
317,19.298
318,18.824
319,18.368
320,17.875
321,16.869
322,16.129
323,15.712
324,15.617
325,15.161
326,16.148
327,17.609
328,18.406
329,18.463
330,18.254
331,17.609
332,16.812
333,15.712
334,15.066
335,14.763
336,14.877
337,15.37
338,15.731
339,15.996
340,16.224
341,16.186
342,16.015
343,15.446
344,14.573
345,14.08
346,13.226
347,12.979
348,14.459
349,15.655
350,15.636
351,17.154
352,17.381
353,17.116
354,16.736
355,16.167
356,15.92
357,15.408
358,15.066
359,15.769
360,15.787
361,15.863
362,17.154
363,18.178
364,18.653
365,18.615
366,18.406
367,17.837
368,17.078
369,16.471
370,16.224
371,16.395
372,17.4
373,18.672
374,19.089
375,19.829
376,20.0
377,19.943
378,19.526
379,18.975
380,18.463
381,17.268
382,16.414
383,16.414
384,16.755
385,16.736
386,17.173
387,17.647
388,18.216
389,18.767
390,18.539
391,18.273
392,17.419
393,16.679
394,15.996
395,15.465
396,15.408
397,15.123
398,16.072
399,17.685
400,18.235
401,18.064
402,17.818
403,17.438
404,16.812
405,17.116
406,17.211
407,17.097
408,17.495
409,17.097
410,18.121
411,18.748
412,18.767
413,18.539
414,18.102
415,17.818
416,17.002
417,16.357
418,15.56
419,15.313
420,14.782
421,13.719
422,14.839
423,15.825
424,17.324
425,17.723
426,17.685
427,17.514
428,16.907
429,15.863
430,14.934
431,14.706
432,14.383
433,14.345
434,14.763
435,15.958
436,16.698
437,16.793
438,17.23
439,16.509
440,15.787
441,14.991
442,14.08
443,14.326
444,14.497
445,13.51
446,13.662
447,14.042
448,14.269
449,14.478
450,14.972
451,14.972
452,14.573
453,13.776
454,13.017
455,12.6
456,12.296
457,13.131
458,13.966
459,15.028
460,15.844
461,15.769
462,15.237
463,14.801
464,14.137
465,13.89
466,13.416
467,13.871
468,14.478
469,14.725
470,14.763
471,15.806
472,16.565
473,17.097
474,17.306
475,17.211
476,16.717
477,15.787
478,14.801
479,14.231
480,13.966
481,14.004
482,15.313
483,16.357
484,17.742
485,17.609
486,17.249
487,17.078
488,16.509
489,15.465
490,14.706
491,14.213
492,13.662
493,13.928
494,14.516
495,15.18
496,15.351
497,15.579
498,15.446
499,15.199
500,14.725
501,14.383
502,14.231
503,13.776
504,13.15
505,12.713
506,13.283
507,14.478
508,14.858
509,14.782
510,14.307
511,14.023
512,13.529
513,12.922
514,12.41
515,11.936
516,11.784
517,11.992
518,12.619
519,13.662
520,14.231
521,14.099
522,13.833
523,13.416
524,12.922
525,11.974
526,11.461
527,11.423
528,11.86
529,12.163
530,13.226
531,13.966
532,14.535
533,14.516
534,14.231
535,13.966
536,13.738
537,13.226
538,12.998
539,13.131
540,13.7
541,13.814
542,14.383
543,15.047
544,15.693
545,15.844
546,15.712
547,15.313
548,14.763
549,13.548
550,13.586
551,14.516
552,14.383
553,14.497
554,14.744
555,15.806
556,16.527
557,16.546
558,16.717
559,16.433
560,15.769
561,15.275
562,15.123
563,15.541
564,15.825
565,16.376
566,16.357
567,16.907
568,17.021
569,17.419
570,17.533
571,17.268
572,16.603
573,15.825
574,15.446
575,15.636
576,15.693
577,16.755
578,16.509
579,17.723
580,18.691
581,19.127
582,19.564
583,19.203
584,18.216
585,17.211
586,16.66
587,16.831
588,15.769
589,15.731
590,15.996
591,17.021
592,17.552
593,17.837
594,17.856
595,17.571
596,17.078
597,16.66
598,16.433
599,16.584
600,14.763
601,14.649
602,15.085
603,16.376
604,16.926
605,16.774
606,16.49
607,15.769
608,15.18
609,14.383
610,14.478
611,14.364
612,13.928
613,13.283
614,13.7
615,15.465
616,16.243
617,16.49
618,16.243
619,15.787
620,15.446
621,14.649
622,13.776
623,13.188
624,13.283
625,12.657
626,12.979
627,13.909
628,14.535
629,14.877
630,14.858
631,14.288
632,13.947
633,13.416
634,12.903
635,13.454
636,13.491
637,13.567
638,13.397
639,14.44
640,15.161
641,15.427
642,15.693
643,15.142
644,14.763
645,14.288
646,13.074
647,12.543
648,12.239
649,12.011
650,12.827
651,13.567
652,13.548
653,13.302
